pass, test_ecmascript_translates_null_return_to_none, , firefox
pass, test_ecmascript_translates_undefined_return_to_none, , firefox
pass, test_can_return_integers_from_scripts, , firefox
pass, test_can_return_real_numbers_from_scripts, , firefox
pass, test_can_return_strings_from_scripts, , firefox
pass, test_can_return_booleans_from_scripts, , firefox
pass, test_can_return_an_array_of_primitives, , firefox
pass, test_can_return_nested_arrays, , firefox
pass, test_can_return_object_literals, , firefox
pass, test_can_return_empty_object_literals, , firefox
pass, test_can_return_complex_object_literals, , firefox
pass, test_dom_element_return_value_is_translated_to_a_web_element, , firefox
pass, test_return_an_array_of_dom_elements, , firefox
pass, test_node_list_return_value_is_translated_to_list_of_web_elements, , firefox
pass, test_return_object_literal_with_dom_element_property, , firefox
pass, test_scripts_execute_in_anonymous_function_and_do_not_pollute_global_scope, , firefox
pass, test_scripts_can_modify_context_window_object, , firefox
pass, test_that_ecmascript_returns_document_title, , firefox
pass, test_ecmascript_translates_null_return_to_none, , chrome
pass, test_ecmascript_translates_undefined_return_to_none, , chrome
pass, test_can_return_integers_from_scripts, , chrome
pass, test_can_return_real_numbers_from_scripts, , chrome
pass, test_can_return_strings_from_scripts, , chrome
pass, test_can_return_booleans_from_scripts, , chrome
pass, test_can_return_an_array_of_primitives, , chrome
pass, test_can_return_nested_arrays, , chrome
pass, test_can_return_object_literals, , chrome
pass, test_can_return_empty_object_literals, , chrome
pass, test_can_return_complex_object_literals, , chrome
pass, test_dom_element_return_value_is_translated_to_a_web_element, , chrome
pass, test_return_an_array_of_dom_elements, , chrome
pass, test_node_list_return_value_is_translated_to_list_of_web_elements, , chrome
pass, test_return_object_literal_with_dom_element_property, , chrome
pass, test_scripts_execute_in_anonymous_function_and_do_not_pollute_global_scope, , chrome
pass, test_scripts_can_modify_context_window_object, , chrome
pass, test_that_ecmascript_returns_document_title, , chrome
